capability	status	observed_path_or_version	contract relevance
node	AVAILABLE_MISMATCH_UNVERIFIED_PIN	C:\Program Files\nodejs\node.exe; Node v24.15.0; V8 13.6.233.17-node.48	different/unproven V8 revision; cannot substitute matching pinned writer/build
node.exe_sha256	OBSERVED	3331E1FFE19874215472217C5E94F5A0C6D8E18C4AC7111D3937AA0AD5E9B4A5	inventory only
d8	MISSING	PATH lookup returned no command	matching stock deserializer and JS behavior replay
mksnapshot	MISSING	PATH lookup returned no command	native snapshot writer path
v8_context_snapshot_generator	MISSING	PATH lookup returned no command	Node snapshot carrier path if applicable
gn	MISSING	PATH lookup returned no command	pinned V8 build configuration
autoninja	MISSING	PATH lookup returned no command	pinned V8 build route
ninja	MISSING	PATH lookup returned no command	pinned V8 build route
python	MISSING	PATH lookup returned no command	V8 build/test scripts
python3	MISSING	PATH lookup returned no command	V8 build/test scripts
cl	MISSING	PATH lookup returned no command	Windows V8 compilation
clang	MISSING	PATH lookup returned no command	V8 compilation
clang-cl	MISSING	PATH lookup returned no command	Windows V8 compilation
git	AVAILABLE	git version 2.53.0.windows.3	source identity only; insufficient
pinned_v8_source_or_build	MISSING	no same-topic StageA tree existed	commit c635f0d160b6e988b5ea5a907511a2929beb5d5e
