index,path,language,optimization,debug,source_size_quartile,module_bytes,module_sha256,strict_pass,B0_bytes,B1_bytes,B2_bytes,WL_bytes,union_bytes,WL_saving_vs_B0_bytes,WL_residual_vs_union_bytes,WL_output_differs_B2,WL_actual_novel_definitions,WL_scope_action,B2_scope_action
0,Regression/C/gcc-c-torture/execute/pr37882.c,c,-O0,-g0,Q1,3440,69c18f7d301d49a11b31d2537bb0891066b1ac2516e256752395b120cb6eafc3,True,3440,3432,3432,3432,3432,8,0,False,0,True,True
1,Regression/C/gcc-c-torture/execute/20030401-1.c,c,-O0,-g0,Q3,3608,b168cd51e525c9a9ccb13dbe312285cc0facd908f7620d4b8458f52b8a33ac2c,True,3608,3604,3604,3604,3604,4,0,False,1,False,False
2,Regression/C/gcc-c-torture/execute/builtin-types-compatible-p.c,c,-O0,-g0,Q4,3420,3faf25abaa3664bb832350d36a18977eddb31b1ca9fe85cee8eccfe0058ad40c,True,3420,3412,3412,3412,3412,8,0,False,0,True,True
3,Regression/C/gcc-c-torture/execute/20070212-1.c,c,-O0,-g0,Q2,3576,455af36b5da8d7686fd9bc68f6286da9e49fe5c8d5c222f74a24dc362fe6fb90,True,3576,3576,3576,3576,3576,0,0,False,0,False,False
4,Regression/C/gcc-c-torture/execute/20100209-1.c,c,-O0,-gline-tables-only,Q1,4076,bdd416a7455a19f231650d4b6d77e54f7e99d14863984742db1d3c563bd8082d,True,4076,4076,4076,4076,4076,0,0,False,0,False,False
5,UnitTests/2003-05-31-LongShifts.c,c,-O0,-gline-tables-only,Q4,4848,b4e12da3afd808554e184e47b8f1aa7b967a89572f4a35388263bff9334dac54,True,4848,4848,4848,4848,4848,0,0,False,0,False,False
6,Regression/C/gcc-c-torture/execute/20010114-1.c,c,-O0,-gline-tables-only,Q2,4336,90d4e3f83f8f572ac33d42e4de41ee5cbf73b3bb5e9dde8aaf271233c8bbe228,True,4336,4332,4332,4332,4332,4,0,False,0,False,False
7,Regression/C/gcc-c-torture/execute/pr39240.c,c,-O0,-gline-tables-only,Q4,7136,b8bdc854cc2130ff2e649abd88448c2cad7d1290a66c8801e2537db98d10e9d4,True,7136,7136,7124,7124,7124,12,0,False,1,False,False
8,Regression/C/gcc-c-torture/execute/20051110-2.c,c,-O0,-gline-tables-only,Q3,4824,957ff316dcb3fafd6c0d640ee910b37b529d06d9447e1cdb09cfbdfe03fcfba7,True,4824,4824,4824,4824,4824,0,0,False,0,False,False
9,Regression/C/gcc-c-torture/execute/pr58209.c,c,-O0,-gline-tables-only,Q3,4976,f355f5f0704c1b1fde7d986cebe60b8acb1730e3bd8920586286b57c378859d4,True,4976,4976,4972,4972,4972,4,0,False,1,False,False
10,Regression/C/gcc-c-torture/execute/pr57877.c,c,-O2,-g0,Q2,5376,c07c7d3d4ffdef6f38e50bed780b5ed09a5a18d6215b1691a0aa44e8938da29f,True,5376,5372,5372,5372,5372,4,0,False,0,False,False
11,Regression/C/gcc-c-torture/execute/pr79121.c,c,-O2,-g0,Q4,4268,ac36029f20420c19ec5c754a47bef55e436a6eefd18f100ecb184722e36d2939,True,4268,4264,4260,4260,4260,8,0,False,1,False,False
12,Regression/C/gcc-c-torture/execute/pr39100.c,c,-O2,-g0,Q4,5208,8691825677ab29e8ecbe10d15e5d47fe85468573d63ea4d5994c9090f2c1bb80,True,5208,5208,5208,5208,5208,0,0,False,0,False,False
13,Regression/C/gcc-c-torture/execute/20000801-2.c,c,-O2,-g0,Q3,3836,4e88311aeeaab94cc64ff3efcabedbad0687ed63e7025b157e594b5c423f9e7a,True,3836,3832,3832,3832,3832,4,0,False,1,False,False
14,Regression/C/gcc-c-torture/execute/pr58564.c,c,-O2,-g0,Q1,3100,02e91ff2492f744f839108770c9ac8b43e4ebf420fefb7e584926ea03b7f8385,True,3100,3092,3092,3092,3092,8,0,False,0,True,True
