capability	status	observed_path_or_version	required_boundary
clang	MISSING	PATH lookup returned no command	pinned LLVM frontend/codegen
clang-cl	MISSING	PATH lookup returned no command	optional Windows driver
llc	MISSING	PATH lookup returned no command	MachineIR/MachineVerifier and X86 codegen
llvm-mc	MISSING	PATH lookup returned no command	native APX assembly and encoding
llvm-objdump	MISSING	PATH lookup returned no command	native APX disassembly
llvm-readobj	MISSING	PATH lookup returned no command	object/unwind inspection
llvm-lit	MISSING	PATH lookup returned no command	pinned LLVM test replay
opt	MISSING	PATH lookup returned no command	LLVM IR validation route
objdump	MISSING	PATH lookup returned no command	independent disassembly route
cmake	MISSING	PATH lookup returned no command	portable source-build route
ninja	MISSING	PATH lookup returned no command	portable source-build route
python	MISSING	PATH lookup returned no command	lit/build and reproducibility scripts
python3	MISSING	PATH lookup returned no command	lit/build and reproducibility scripts
git	AVAILABLE	git version 2.53.0.windows.3	source identity only; insufficient for preclaim
pinned_llvm_tree	MISSING	no same-topic StageA source/build tree existed	commit a1194be1baefa99d20a09bd04b16056be0ab7225
