id	family	official_url	expected_or_response_bytes	actual_bytes	raw_sha256	gzip_integrity	json_schema	license_audit	provenance	status	attempts	last_error
nvd-2015	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2015.json.gz	4190045	4190045	36D62C93A5F15ACDCBA69513F3CA86D44A35E10ACD44258E5A49AFE1EB24B0C0	PASS_FULL_STREAM	PASS_NVD_CVE_JSON_2_0_REQUIRED_FIELDS	NIST_NVD_US_GOVERNMENT_DATA_ATTRIBUTION_RETAINED	INITIAL_PACKAGE_25_OF_25_VERIFIED_COMPLETE_ASSET_COPY	CLOSED	0	NONE
nvd-2016	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2016.json.gz	5159096	5159096	E3A4B0B68C30065FB24417DDF1240E8149B3F99F433F4A262B776090A24E930F	PASS_FULL_STREAM	PASS_NVD_CVE_JSON_2_0_REQUIRED_FIELDS	NIST_NVD_US_GOVERNMENT_DATA_ATTRIBUTION_RETAINED	INITIAL_PACKAGE_25_OF_25_VERIFIED_COMPLETE_ASSET_COPY	CLOSED	0	NONE
nvd-2017	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2017.json.gz	7706425	7706425	F3569A60D9AD55B6F076ADF6DF74F67BBAE93A88AFD97D31C5A8BC1E4B4FB894	PASS_FULL_STREAM	PASS_NVD_CVE_JSON_2_0_REQUIRED_FIELDS	NIST_NVD_US_GOVERNMENT_DATA_ATTRIBUTION_RETAINED	DIRECT_OFFICIAL_HTTPS_2026-08-10T06:36:00Z	CLOSED	1	NONE
nvd-2018	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2018.json.gz	8264377	8264377	6508FA9EB5E45767E3120B5D4A135799C593281D717491BBB94E715F9CF89B31	PASS_FULL_STREAM	PASS_NVD_CVE_JSON_2_0_REQUIRED_FIELDS	NIST_NVD_US_GOVERNMENT_DATA_ATTRIBUTION_RETAINED	DIRECT_OFFICIAL_HTTPS_2026-08-10T06:37:31Z	CLOSED	1	NONE
nvd-2019	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2019.json.gz	UNOBTAINED	0	UNOBTAINED	NOT_RUN	NOT_RUN	SOURCE_POLICY_FROZEN	OFFICIAL_URL_ONLY	BLOCKED_ATTEMPTS_EXHAUSTED	3	ATTEMPTS_1_2_EXTERNAL_TERMINATION_ZERO_BYTES__ATTEMPT_3_SEC_E_NO_CREDENTIALS_0x8009030e
nvd-2020	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2020.json.gz	UNOBTAINED	0	UNOBTAINED	NOT_RUN	NOT_RUN	SOURCE_POLICY_FROZEN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
nvd-2021	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2021.json.gz	UNOBTAINED	0	UNOBTAINED	NOT_RUN	NOT_RUN	SOURCE_POLICY_FROZEN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
nvd-2022	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2022.json.gz	UNOBTAINED	0	UNOBTAINED	NOT_RUN	NOT_RUN	SOURCE_POLICY_FROZEN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
nvd-2023	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2023.json.gz	UNOBTAINED	0	UNOBTAINED	NOT_RUN	NOT_RUN	SOURCE_POLICY_FROZEN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
nvd-2024	NVD_JSON_2_0	https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-2024.json.gz	UNOBTAINED	0	UNOBTAINED	NOT_RUN	NOT_RUN	SOURCE_POLICY_FROZEN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-boto3	PYPI_JSON_API	https://pypi.org/pypi/boto3/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-botocore	PYPI_JSON_API	https://pypi.org/pypi/botocore/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-django	PYPI_JSON_API	https://pypi.org/pypi/django/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-pandas	PYPI_JSON_API	https://pypi.org/pypi/pandas/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-numpy	PYPI_JSON_API	https://pypi.org/pypi/numpy/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-scipy	PYPI_JSON_API	https://pypi.org/pypi/scipy/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-tensorflow	PYPI_JSON_API	https://pypi.org/pypi/tensorflow/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-torch	PYPI_JSON_API	https://pypi.org/pypi/torch/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-matplotlib	PYPI_JSON_API	https://pypi.org/pypi/matplotlib/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
pypi-scikit-learn	PYPI_JSON_API	https://pypi.org/pypi/scikit-learn/json	UNOBTAINED	0	UNOBTAINED	NOT_APPLICABLE	NOT_RUN	NOT_RUN	OFFICIAL_URL_ONLY	NOT_STARTED_AFTER_ATOMIC_BLOCKER	0	NONE
